QS1,QS2,MS1,MS2,MS3,SS1,SS2,BASE_LINE,IS1,IS2
3,0,0,1,0,4,11,0,0,0
15,0,0,1,1,17,49,0,0,0
38,1,1,0,1,44,110,0,0,0
68,1,0,1,2,78,207,0,0,0
107,1,1,1,3,123,345,1,0,0
158,1,2,1,2,182,507,1,0,0
215,2,2,1,3,246,691,0,1,0
276,2,2,2,3,325,940,1,0,1
360,3,2,2,4,414,1207,1,0,1
439,3,3,2,4,512,1513,1,0,0
529,3,3,3,4,620,1846,1,0,1
628,4,3,3,4,739,2202,1,0,1
740,3,4,3,5,873,2543,2,0,1
858,4,4,3,6,1018,3029,1,0,1
992,4,4,4,6,1168,3531,1,1,1
1127,5,4,4,6,1326,4068,2,0,1
1289,5,5,4,7,1521,4595,2,1,1
1450,5,5,5,7,1714,5161,2,0,1
1594,6,5,5,7,1892,5766,2,0,1
1803,6,6,5,8,2103,6462,3,0,1
