QS1,QS2,MS1,MS2,MS3,SS1,SS2,BASE_LINE,IS1,IS2
2,0,0,0,1,5,10,0,1,2
6,1,0,1,0,18,47,0,5,6
15,1,1,0,1,46,114,0,13,13
28,1,1,1,2,80,214,1,24,23
45,1,3,2,2,127,350,1,38,38
64,2,2,2,2,180,515,2,55,55
89,2,2,2,3,249,719,1,76,73
112,2,3,2,3,335,933,1,100,98
142,2,4,2,3,417,1225,1,127,124
179,2,4,3,3,520,1526,2,157,160
217,3,4,3,5,633,1895,2,197,188
252,4,4,3,5,750,2226,2,240,240
310,4,5,4,4,887,2695,3,266,266
351,4,5,3,6,1029,3118,2,319,315
396,4,6,4,6,1177,3552,3,365,360
452,4,6,4,6,1346,4115,3,416,402
513,4,6,5,7,1512,4664,4,540,480
589,6,7,5,7,1699,5284,4,526,512
643,6,8,5,7,1883,5848,4,591,577
717,6,8,5,8,2111,6531,4,655,658
