QS1,QS2,MS1,MS2,MS3,SS1,SS2,BASE_LINE,IS1,IS2
0,0,0,0,1,4,11,0,1,0
1,0,1,0,1,20,48,0,3,3
1,1,1,1,1,46,116,1,7,8
1,1,1,1,2,79,218,1,13,12
1,1,2,2,2,127,356,1,21,20
2,2,2,2,2,183,529,1,32,30
1,2,3,2,3,250,754,2,42,41
2,3,2,3,3,329,990,3,54,53
2,3,3,3,4,423,1279,3,69,70
3,3,4,3,4,523,1612,4,90,85
3,4,4,3,5,644,1987,4,107,105
3,4,5,4,5,760,2391,4,127,124
3,5,4,5,5,889,2774,5,148,145
4,4,6,4,6,1035,3266,5,176,173
5,4,6,5,6,1184,3780,6,196,191
4,6,6,5,7,1355,4299,7,226,220
5,5,7,6,7,1543,4886,7,251,251
5,6,7,6,8,1733,5558,7,281,275
5,6,8,6,9,1916,6180,7,319,314
5,6,8,7,9,2135,6863,8,343,336
